ID,STIX ID,name,description,url,created,last modified,domain,version,relationship citations
M0801,course-of-action--3992ce42-43e9-4bea-b8db-a102ec3ec1e3,Access Management,"Access Management technologies can be used to enforce authorization polices and decisions, especially when existing field devices do not provide sufficient capabilities to support user identification and authentication. (Citation: McCarthy, J et al. July 2018) These technologies typically utilize an in-line network device or gateway system to prevent access to unauthenticated users, while also integrating with an authentication service to first verify user credentials. (Citation: Centre for the Protection of National Infrastructure November 2010)",https://attack.mitre.org/mitigations/M0801,11 September 2020,12 March 2025,ics-attack,1.0,"(Citation: McCarthy, J et al. July 2018)"
M0936,course-of-action--86b455f2-fb63-4043-93a8-32a3a7703a02,Account Use Policies,"Configure features related to account use like login attempt lockouts, specific login times, etc.",https://attack.mitre.org/mitigations/M0936,11 June 2019,16 April 2025,ics-attack,1.0,(Citation: Keith Stouffer May 2015)
M0915,course-of-action--2f0160b7-e982-49d7-9612-f19b810f1722,Active Directory Configuration,"Configure Active Directory to prevent use of certain techniques; use security identifier (SID) Filtering, etc.",https://attack.mitre.org/mitigations/M0915,06 June 2019,25 April 2025,ics-attack,1.0,"(Citation: Keith Stouffer May 2015),(Citation: Schweitzer Engineering Laboratories August 2015)"
M0949,course-of-action--faf2b40e-5981-433f-aa46-17458e0026f7,Antivirus/Antimalware,"Use signatures or heuristics to detect malicious software.  Within industrial control environments, antivirus/antimalware installations should be limited to assets that are not involved in critical or real-time operations. To minimize the impact to system availability, all products should first be validated within a representative test environment before deployment to production systems. (Citation: NCCIC August 2018)",https://attack.mitre.org/mitigations/M0949,11 June 2019,16 April 2025,ics-attack,1.0,
M0913,course-of-action--8a3aadd0-b5f4-433a-800e-4893e4196bb7,Application Developer Guidance,This mitigation describes any guidance or training given to developers of applications to avoid introducing security weaknesses that an adversary may be able to take advantage of.,https://attack.mitre.org/mitigations/M0913,25 October 2017,16 April 2025,ics-attack,1.0,(Citation: CISA June 2013)
M0948,course-of-action--059ba11e-e3dc-49aa-84ca-88197f40d4ea,Application Isolation and Sandboxing,Restrict the execution of code to a virtual environment on or in-transit to an endpoint system.,https://attack.mitre.org/mitigations/M0948,11 June 2019,16 April 2025,ics-attack,1.0,(Citation: Dan Goodin March 2017)
M0947,course-of-action--bcf91ebc-f316-4e19-b2f6-444e9940c697,Audit,"Perform audits or scans of systems, permissions, insecure software, insecure configurations, etc. to identify potential weaknesses. Perform periodic integrity checks of the device to validate the correctness of the firmware, software, programs, and configurations. Integrity checks, which typically include cryptographic hashes or digital signatures, should be compared to those obtained at known valid states, especially after events like device reboots, program downloads, or program restarts.",https://attack.mitre.org/mitigations/M0947,11 June 2019,16 April 2025,ics-attack,1.0,"(Citation: IEC February 2019),(Citation: National Security Agency February 2016),(Citation: Emerson Exchange)"
M0800,course-of-action--e0d38502-decb-481d-ad8b-b8f0a0c330bd,Authorization Enforcement,"The device or system should restrict read, manipulate, or execute privileges to only authenticated users who require access based on approved security policies.  Role-based Access Control (RBAC) schemes can help reduce the overhead of assigning permissions to the large number of devices within an ICS. For example, IEC 62351 provides examples of roles used to support common system operations within the electric power sector  (Citation: International Electrotechnical Commission July 2020), while IEEE 1686 defines standard permissions for users of IEDs. (Citation: Institute of Electrical and Electronics Engineers January 2014)",https://attack.mitre.org/mitigations/M0800,11 September 2020,20 October 2023,ics-attack,1.1,(Citation: MITRE June 2020)
M0946,course-of-action--8ac1d6e1-b07f-476a-9732-84984ebc2405,Boot Integrity,Use secure methods to boot a system and verify the integrity of the operating system and loading mechanisms.,https://attack.mitre.org/mitigations/M0946,11 June 2019,16 April 2025,ics-attack,1.0,"(Citation: ESET Research Whitepapers September 2018),(Citation: N/A),(Citation: Intel)"
M0945,course-of-action--71eb7dad-07eb-4bbc-9df0-ac57bf2fba4a,Code Signing,Enforce binary and application integrity with digital signature verification to prevent untrusted code from executing.,https://attack.mitre.org/mitigations/M0945,11 June 2019,16 April 2025,ics-attack,1.0,
M0802,course-of-action--c7257b6e-4159-4771-b1f3-2bb93adaecac,Communication Authenticity,"When communicating over an untrusted network, utilize secure network protocols that both authenticate the message sender and can verify its integrity. This can be done either through message authentication codes (MACs) or digital signatures, to detect spoofed network messages and unauthorized connections.",https://attack.mitre.org/mitigations/M0802,11 September 2020,16 April 2025,ics-attack,1.0,(Citation: CISA March 2010)
M0953,course-of-action--ad12819e-3211-4291-b360-069f280cff0a,Data Backup,"Take and store data backups from end user systems and critical servers. Ensure backup and storage systems are hardened and kept separate from the corporate network to prevent compromise.   Maintain and exercise incident response plans  (Citation: Department of Homeland Security October 2009), including the management of  'gold-copy' back-up images and configurations for key systems to enable quick recovery and response from adversarial activities that impact control, view, or availability.",https://attack.mitre.org/mitigations/M0953,19 July 2019,16 April 2025,ics-attack,1.0,"(Citation: National Institute of Standards and Technology April 2013),(Citation: Department of Homeland Security October 2009)"
M0803,course-of-action--337c4e2a-21a7-4d9a-bfee-9efd6cebf0e5,Data Loss Prevention,"Data Loss Prevention (DLP) technologies can be used to help identify adversarial attempts to exfiltrate operational information, such as engineering plans, trade secrets, recipes, intellectual property, or process telemetry. DLP functionality may be built into other security products such as firewalls or standalone suites running on the network and host-based agents. DLP may be configured to prevent the transfer of information through corporate resources such as email, web, and physical media such as USB for host-based solutions.",https://attack.mitre.org/mitigations/M0803,11 September 2020,25 April 2025,ics-attack,1.0,
M0942,course-of-action--d0909119-2f71-4923-87db-b649881672d7,Disable or Remove Feature or Program,Remove or deny access to unnecessary and potentially vulnerable software to prevent abuse by adversaries.,https://attack.mitre.org/mitigations/M0942,11 June 2019,16 April 2025,ics-attack,1.0,(Citation: Department of Homeland Security September 2016)
M0808,course-of-action--7f153c28-e5f1-4764-88fb-eea1d9b0ad4a,Encrypt Network Traffic,Utilize strong cryptographic techniques and protocols to prevent eavesdropping on network communications.,https://attack.mitre.org/mitigations/M0808,11 September 2020,16 April 2025,ics-attack,1.0,"(Citation: Keith Stouffer May 2015),(Citation: Bastille April 2017)"
M0941,course-of-action--9f99fcfd-772e-4e63-9d39-e45612e546dc,Encrypt Sensitive Information,Protect sensitive data-at-rest with strong encryption.,https://attack.mitre.org/mitigations/M0941,11 June 2019,16 April 2025,ics-attack,1.0,"(Citation: Keith Stouffer May 2015),(Citation: National Institute of Standards and Technology April 2013)"
M0938,course-of-action--4fa717d9-cabe-47c8-8cdd-86e9e2e37f30,Execution Prevention,"Block execution of code on a system through application control, and/or script blocking.",https://attack.mitre.org/mitigations/M0938,11 June 2019,16 April 2025,ics-attack,1.0,
M0950,course-of-action--49363b74-d506-4342-bd63-320586ebadb9,Exploit Protection,Use capabilities to detect and block conditions that may lead to or be indicative of a software exploit occurring.,https://attack.mitre.org/mitigations/M0950,11 June 2019,16 April 2025,ics-attack,1.0,"(Citation: Microsoft Security Response Center August 2017),(Citation: Karen Scarfone; Paul Hoffman September 2009),(Citation: Wikipedia)"
M0937,course-of-action--11f242bc-3121-438c-84b2-5cbd46a4bb17,Filter Network Traffic,"Use network appliances to filter ingress or egress traffic and perform protocol-based filtering. Configure software on endpoints to filter network traffic.   Perform inline allow/denylisting of network messages based on the application layer (OSI Layer 7) protocol, especially for automation protocols. Application allowlists are beneficial when there are well-defined communication sequences, types, rates, or patterns needed during expected system operations. Application denylists may be needed if all acceptable communication sequences cannot be defined, but instead a set of known malicious uses can be denied (e.g., excessive communication  attempts, shutdown messages, invalid commands).  Devices performing these functions are often referred to as deep-packet inspection (DPI) firewalls, context-aware firewalls, or firewalls blocking specific automation/SCADA protocol aware firewalls. (Citation: Centre for the Protection of National Infrastructure February 2005)",https://attack.mitre.org/mitigations/M0937,11 June 2019,16 April 2025,ics-attack,1.0,
M0804,course-of-action--66cfe23e-34b6-4583-b178-ed6a412db2b0,Human User Authentication,"Require user authentication before allowing access to data or accepting commands to a device. While strong multi-factor authentication is preferable, it is not always feasible within ICS environments. Performing strong user authentication also requires additional security controls and processes which are often the target of related adversarial techniques (e.g., Valid Accounts, Default Credentials). Therefore, associated ATT&CK mitigations should be considered in addition to this, including [Multi-factor Authentication](https://attack.mitre.org/mitigations/M0932), [Account Use Policies](https://attack.mitre.org/mitigations/M0936), [Password Policies](https://attack.mitre.org/mitigations/M0927), [User Account Management](https://attack.mitre.org/mitigations/M0918), [Privileged Account Management](https://attack.mitre.org/mitigations/M0926), and [User Account Control](https://attack.mitre.org/mitigations/M1052).",https://attack.mitre.org/mitigations/M0804,11 September 2020,20 October 2023,ics-attack,1.1,
M0935,course-of-action--49b306c1-a046-42c5-a4d2-30f264ada110,Limit Access to Resource Over Network,"Prevent access to file shares, remote access to systems, unnecessary services. Mechanisms to limit access may include use of network concentrators, RDP gateways, etc.",https://attack.mitre.org/mitigations/M0935,11 June 2019,16 April 2025,ics-attack,1.0,
M0934,course-of-action--9e3adcad-0b8f-4ecc-a2f3-06f607f53bf0,Limit Hardware Installation,"Block users or groups from installing or using unapproved hardware on systems, including USB devices.",https://attack.mitre.org/mitigations/M0934,11 June 2019,16 April 2025,ics-attack,1.0,
M0805,course-of-action--8bc4a54e-810c-4600-8b6c-08fa8413a401,Mechanical Protection Layers,"Utilize a layered protection design based on physical or mechanical protection systems to prevent damage to property, equipment, human safety, or the environment. Examples include interlocks, rupture disk, release values, etc. (Citation: A G Foord, W G Gulland, C R Howard, T Kellacher, W H Smith 2004) ",https://attack.mitre.org/mitigations/M0805,11 September 2020,25 April 2025,ics-attack,1.0,"(Citation: A G Foord, W G Gulland, C R Howard, T Kellacher, W H Smith 2004)"
M0806,course-of-action--fce6866f-9a87-4d3e-a73c-f02d8937fe0e,Minimize Wireless Signal Propagation,"Wireless signals frequently propagate outside of organizational boundaries, which provide opportunities for adversaries to monitor or gain unauthorized access to the wireless network. (Citation: CISA March 2010) To minimize this threat, organizations should implement measures to detect, understand, and reduce unnecessary RF propagation. (Citation: DHS  National Urban Security Technology Laboratory April 2019)",https://attack.mitre.org/mitigations/M0806,11 September 2020,16 April 2025,ics-attack,1.0,(Citation: DHS  National Urban Security Technology Laboratory April 2019)
M0816,course-of-action--469b78dd-a54d-4f7c-8c3b-4a1dd916b433,Mitigation Limited or Not Effective,This type of attack technique cannot be easily mitigated with preventative controls since it is based on the abuse of system features.,https://attack.mitre.org/mitigations/M0816,11 September 2020,25 April 2025,ics-attack,1.0,
M0932,course-of-action--ddf3e568-f065-49e2-9106-42029a28ddbd,Multi-factor Authentication,"Use two or more pieces of evidence to authenticate to a system; such as username and password in addition to a token from a physical smart card or token generator.  Within industrial control environments assets such as low-level controllers, workstations, and HMIs have real-time operational control and safety requirements which may restrict the use of multi-factor.",https://attack.mitre.org/mitigations/M0932,10 June 2019,16 April 2025,ics-attack,1.0,
M0807,course-of-action--aadac250-bcdc-44e3-a4ae-f52bd0a7a16a,Network Allowlists,"Network allowlists can be implemented through either host-based files or system hosts files to specify what connections (e.g., IP address, MAC address, port, protocol) can be made from a device. Allowlist techniques that operate at the  application layer (e.g., DNP3, Modbus, HTTP) are addressed in [Filter Network Traffic](https://attack.mitre.org/mitigations/M0937) mitigation.",https://attack.mitre.org/mitigations/M0807,10 June 2019,16 April 2025,ics-attack,1.0,(Citation: Department of Homeland Security September 2016)
M0931,course-of-action--3172222b-4983-43f7-8983-753ded4f13bc,Network Intrusion Prevention,"Use intrusion detection signatures to block traffic at network boundaries.  In industrial control environments, network intrusion prevention should be configured so it will not disrupt protocols and communications responsible for real-time functions related to control or safety.",https://attack.mitre.org/mitigations/M0931,10 June 2019,16 April 2025,ics-attack,1.0,"(Citation: Gardiner, J.,  Cova, M., Nagaraja, S February 2014)"
M0930,course-of-action--1e7ccfc0-94c8-496e-8d27-032120892291,Network Segmentation,"Architect sections of the network to isolate critical systems, functions, or resources. Use physical and logical segmentation to prevent access to potentially sensitive systems and information. Use a DMZ to contain any internet-facing services that should not be exposed from the internal network.  Restrict network access to only required systems and services. In addition, prevent systems from other networks or business functions (e.g., enterprise) from accessing critical process control systems. For example, in IEC 62443, systems within the same secure level should be grouped into a zone, and access to that zone is restricted by a conduit, or mechanism to restrict data flows between zones by segmenting the network. (Citation: IEC February 2019) (Citation: IEC August 2013)",https://attack.mitre.org/mitigations/M0930,10 June 2019,16 April 2025,ics-attack,1.0,"(Citation: Dwight Anderson 2014),(Citation: North America Transmission Forum December 2019),(Citation: Keith Stouffer May 2015),(Citation: Department of Homeland Security September 2016),(Citation: Karen Scarfone; Paul Hoffman September 2009),(Citation: N/A)"
M0928,course-of-action--9a945a29-5233-4422-a9e3-3e957b0e8bce,Operating System Configuration,Make configuration changes related to the operating system or a common feature of the operating system that result in system hardening against techniques.,https://attack.mitre.org/mitigations/M0928,06 June 2019,16 April 2025,ics-attack,1.0,
M0809,course-of-action--99c746d7-a08a-4169-94f9-b8c0dad716fa,Operational Information Confidentiality,"Deploy mechanisms to protect the confidentiality of information related to operational processes, facility locations, device configurations, programs, or databases that may have information that can be used to infer organizational trade-secrets, recipes, and other intellectual property (IP).",https://attack.mitre.org/mitigations/M0809,06 June 2019,25 April 2025,ics-attack,1.0,
M0810,course-of-action--b11cad63-ef30-4eb8-af0d-6cc46eef3f3e,Out-of-Band Communications Channel,Have alternative methods to support communication requirements during communication failures and data integrity attacks. (Citation: National Institute of Standards and Technology April 2013) (Citation: Defense Advanced Research Projects Agency),https://attack.mitre.org/mitigations/M0810,06 June 2019,16 April 2025,ics-attack,1.0,(Citation: National Institute of Standards and Technology April 2013)
M0927,course-of-action--5d97c693-e054-48ba-a3a3-eaf6942dfb65,Password Policies,Set and enforce secure password policies for accounts.,https://attack.mitre.org/mitigations/M0927,06 June 2019,16 April 2025,ics-attack,1.0,(Citation: CISA June 2013)
M0926,course-of-action--622fe4d4-0e8e-4d17-9c25-6c9cef1f15d5,Privileged Account Management,"Manage the creation, modification, use, and permissions associated to privileged accounts, including SYSTEM and root.",https://attack.mitre.org/mitigations/M0926,06 June 2019,16 April 2025,ics-attack,1.0,"(Citation: Microsoft May 2017),(Citation: Keith Stouffer May 2015),(Citation: National Institute of Standards and Technology April 2013),(Citation: Microsoft February 2019),(Citation: Microsoft August 2018)"
M0811,course-of-action--f0f5c87a-a58d-440a-b3b5-ca679d98c6dd,Redundancy of Service,"Redundancy could be provided for both critical ICS devices and services, such as back-up devices or hot-standbys.",https://attack.mitre.org/mitigations/M0811,06 June 2019,16 April 2025,ics-attack,1.0,(Citation: M. Rentschler and H. Heine)
M0922,course-of-action--f9fcb3ec-6de0-4559-8cd9-ef1c0c7d1971,Restrict File and Directory Permissions,Restrict access by setting directory and file permissions that are not specific to users or privileged accounts.,https://attack.mitre.org/mitigations/M0922,06 June 2019,16 April 2025,ics-attack,1.0,"(Citation: Keith Stouffer May 2015),(Citation: National Institute of Standards and Technology April 2013)"
M0944,course-of-action--2ab9fc6d-3cf6-4d7b-85f1-3ad6949233b3,Restrict Library Loading,Prevent abuse of library loading mechanisms in the operating system and software to load untrusted code by configuring appropriate library loading mechanisms and investigating potential vulnerable software.,https://attack.mitre.org/mitigations/M0944,11 June 2019,16 April 2025,ics-attack,1.0,
M0924,course-of-action--3222a807-521b-4a1a-aa13-f1cda45734b3,Restrict Registry Permissions,Restrict the ability to modify certain hives or keys in the Windows Registry.,https://attack.mitre.org/mitigations/M0924,06 June 2019,16 April 2025,ics-attack,1.0,
M0921,course-of-action--143b4398-3222-480a-b6a4-e131bc2d3144,Restrict Web-Based Content,"Restrict use of certain websites, block downloads/attachments, block Javascript, restrict browser extensions, etc.",https://attack.mitre.org/mitigations/M0921,06 June 2019,16 April 2025,ics-attack,1.0,
M0920,course-of-action--6a02e38a-9629-40c0-8c7d-e98e3470315c,SSL/TLS Inspection,Break and inspect SSL/TLS sessions to look at encrypted web traffic for adversary activity.,https://attack.mitre.org/mitigations/M0920,06 June 2019,25 April 2025,ics-attack,1.0,
M0812,course-of-action--da44255d-85c5-492c-baf3-ee823d44f848,Safety Instrumented Systems,"Utilize Safety Instrumented Systems (SIS) to provide an additional layer of protection to hazard scenarios that may cause property damage. A SIS will typically include sensors, logic solvers, and a final control element that can be used to automatically respond to an hazardous condition  (Citation: A G Foord, W G Gulland, C R Howard, T Kellacher, W H Smith 2004) . Ensure that all SISs are segmented from operational networks to prevent them from being targeted by additional adversarial behavior.",https://attack.mitre.org/mitigations/M0812,06 June 2019,25 April 2025,ics-attack,1.0,
M0954,course-of-action--facb8840-ebe7-49f1-b464-8ef6c8131e21,Software Configuration,Implement configuration changes to software (other than the operating system) to mitigate security risks associated with how the software operates.,https://attack.mitre.org/mitigations/M0954,19 July 2019,16 April 2025,ics-attack,1.0,
M0813,course-of-action--72e46e53-e12d-4106-9c70-33241b6ed549,Software Process and Device Authentication,"Require the authentication of devices and software processes where appropriate. Devices that connect remotely to other systems should require strong authentication to prevent spoofing of communications. Furthermore, software processes should also require authentication when accessing APIs.",https://attack.mitre.org/mitigations/M0813,06 June 2019,14 October 2024,ics-attack,1.1,
M0814,course-of-action--52c7a1a9-3a78-4528-a44f-cd7b0fa3541a,Static Network Configuration,"Configure hosts and devices to use static network configurations when possible, protocols that require dynamic discovery/addressing (e.g., ARP, DHCP, DNS) can be used to manipulate network message forwarding and enable various AiTM attacks. This mitigation may not always be usable due to limited device features or challenges introduced with different network configurations.",https://attack.mitre.org/mitigations/M0814,06 June 2019,16 April 2025,ics-attack,1.1,"(Citation: Josh Rinaldi April 2016),(Citation: Langner November 2018),(Citation: D. Parsons and D. Wylie September 2019),(Citation: Colin Gray),(Citation: Aditya K Sood July 2019)"
M0817,course-of-action--ac8f3492-7fbb-4a0a-b0b4-b75ec676136c,Supply Chain Management,"Implement a supply chain management program, including policies and procedures to ensure all devices and components originate from a trusted supplier and are tested to verify their integrity.",https://attack.mitre.org/mitigations/M0817,12 April 2021,16 April 2025,ics-attack,1.0,(Citation: Robert A. Martin January 2021)
M0919,course-of-action--d48b79b2-076d-483e-949c-0d38aa347499,Threat Intelligence Program,A threat intelligence program helps an organization generate their own threat intelligence information and track trends to inform defensive priorities to mitigate risk.,https://attack.mitre.org/mitigations/M0919,06 June 2019,25 April 2025,ics-attack,1.0,
M0951,course-of-action--97f33c84-8508-45b9-8a1d-cac921828c9e,Update Software,Perform regular software updates to mitigate exploitation risk. Software updates may need to be scheduled around operational down times.,https://attack.mitre.org/mitigations/M0951,11 June 2019,16 April 2025,ics-attack,1.0,
M0918,course-of-action--e57ebc6d-785f-40c8-adb1-b5b5e09b3b48,User Account Management,"Manage the creation, modification, use, and permissions associated to user accounts.",https://attack.mitre.org/mitigations/M0918,06 June 2019,16 April 2025,ics-attack,1.0,
M0917,course-of-action--dc61c280-c29d-44e5-a960-c0dd1623d2ba,User Training,"Train users to be aware of access or manipulation attempts by an adversary to reduce the risk of successful spearphishing, social engineering, and other techniques that involve user interaction.",https://attack.mitre.org/mitigations/M0917,06 June 2019,16 April 2025,ics-attack,1.0,
M0818,course-of-action--1cbcceef-3233-4062-aa86-ec91afe39517,Validate Program Inputs,"Devices and programs designed to interact with control system parameters should validate the format and content of all user inputs and actions to ensure the values are within intended operational ranges. These values should be evaluated and further enforced through the program logic running on the field controller. If a problematic or invalid input is identified, the programs should either utilize a predetermined safe value or enter a known safe state, while also logging or alerting on the event.(Citation: PLCTop20 Mar 2023)",https://attack.mitre.org/mitigations/M0818,22 March 2023,16 April 2025,ics-attack,1.0,(Citation: PLCTop20 Mar 2023)
M0916,course-of-action--de0bc375-50e1-4e26-a342-a8ff8c9d3037,Vulnerability Scanning,Vulnerability scanning is used to find potentially exploitable software vulnerabilities to remediate them.,https://attack.mitre.org/mitigations/M0916,06 June 2019,16 April 2025,ics-attack,1.0,(Citation: OWASP)
M0815,course-of-action--98aa0d61-fc9d-4b2d-8f18-b25d03549f53,Watchdog Timers,Utilize watchdog timers to ensure devices can quickly detect whether a system is unresponsive.,https://attack.mitre.org/mitigations/M0815,06 June 2019,25 April 2025,ics-attack,1.0,
